trade_id,price,side,size,time
263,298.52,sell,0.01,2015-01-08T03:03:20.400721Z
264,271.04,sell,0.01,2015-01-08T03:03:40.740833Z
265,300.0,sell,0.05,2015-01-08T03:04:02.733769Z
266,310.0,sell,0.05,2015-01-08T03:04:02.734221Z
267,320.0,sell,0.01,2015-01-08T03:04:02.734585Z
268,268.26,sell,0.01,2015-01-08T03:04:25.320409Z
269,305.35,buy,0.01,2015-01-08T03:04:50.682054Z
270,297.19,buy,0.01,2015-01-08T03:04:56.687918Z
271,284.96,sell,0.01,2015-01-08T03:05:41.274621Z
272,285.87,buy,0.01,2015-01-08T03:06:02.024493Z
273,268.79,buy,0.01,2015-01-08T03:06:08.294762Z
274,294.98,sell,0.01,2015-01-08T03:06:42.66569Z
275,274.27,sell,0.01,2015-01-08T03:06:57.43736Z
276,310.91,buy,0.01,2015-01-08T03:07:40.391801Z
277,303.01,buy,0.01,2015-01-08T03:07:53.248334Z
278,305.52,buy,0.01,2015-01-08T03:08:00.750195Z
279,298.18,buy,0.01,2015-01-08T03:08:43.626489Z
280,297.65,buy,0.01,2015-01-08T03:09:13.48894Z
281,303.03,buy,0.01,2015-01-08T03:09:37.110069Z
282,287.79,sell,0.01,2015-01-08T03:10:12.944745Z
283,308.6,buy,0.01,2015-01-08T03:10:48.088582Z
284,307.03,buy,0.01,2015-01-08T03:10:56.784626Z
285,293.75,sell,0.01,2015-01-08T03:11:06.223679Z
286,286.13,sell,0.01,2015-01-08T03:11:45.492439Z
287,294.38,buy,0.01,2015-01-08T03:12:03.439257Z
288,311.96,sell,0.01,2015-01-08T03:12:24.564508Z
289,298.3,sell,0.01,2015-01-08T03:12:51.750819Z
290,309.04,sell,0.01,2015-01-08T03:13:23.568038Z
291,305.11,buy,0.01,2015-01-08T03:13:55.05739Z
292,284.43,sell,0.01,2015-01-08T03:14:04.573449Z
293,285.72,sell,0.01,2015-01-08T03:14:43.402914Z
294,298.43,sell,0.01,2015-01-08T03:15:26.362395Z
295,307.72,sell,0.01,2015-01-08T03:16:06.03871Z
296,314.74,sell,0.01,2015-01-08T03:16:22.004925Z
297,309.05,buy,0.01,2015-01-08T03:16:48.157554Z
298,293.73,buy,0.01,2015-01-08T03:17:11.440763Z
299,289.38,sell,0.01,2015-01-08T03:17:51.950485Z
300,298.81,buy,0.01,2015-01-08T03:18:30.473694Z
301,306.23,sell,0.01,2015-01-08T03:19:05.621944Z
302,284.98,sell,0.01,2015-01-08T03:19:28.987184Z
303,311.31,sell,0.01,2015-01-08T03:19:58.027851Z
304,295.11,sell,0.01,2015-01-08T03:20:37.553747Z
305,307.89,sell,0.01,2015-01-08T03:20:58.611529Z
306,305.77,sell,0.01,2015-01-08T03:21:32.343589Z
307,301.08,buy,0.01,2015-01-08T03:21:56.278022Z
308,285.31,sell,0.01,2015-01-08T03:22:31.908305Z
309,298.72,buy,0.01,2015-01-08T03:22:47.927436Z
310,305.62,buy,0.01,2015-01-08T03:23:18.127759Z
311,289.17,sell,0.01,2015-01-08T03:23:30.718428Z
312,310.48,buy,0.01,2015-01-08T03:24:11.806724Z
313,296.36,sell,0.01,2015-01-08T03:24:57.032951Z
314,286.57,buy,0.01,2015-01-08T03:25:21.725014Z
315,286.15,sell,0.01,2015-01-08T03:26:04.661233Z
316,286.56,sell,0.01,2015-01-08T03:26:42.686431Z
317,311.61,sell,0.01,2015-01-08T03:27:07.571623Z
318,298.43,buy,0.01,2015-01-08T03:27:31.243412Z
319,306.33,sell,0.01,2015-01-08T03:27:48.254179Z
320,311.82,sell,0.01,2015-01-08T03:28:15.866523Z
321,290.65,sell,0.01,2015-01-08T03:28:47.211927Z
322,312.73,buy,0.01,2015-01-08T03:29:25.091888Z
323,289.65,buy,0.01,2015-01-08T03:29:41.273297Z
324,313.17,buy,0.01,2015-01-08T03:30:10.592051Z
325,310.17,buy,0.01,2015-01-08T03:30:16.318277Z
326,289.41,buy,0.01,2015-01-08T03:30:38.540444Z
327,287.19,sell,0.01,2015-01-08T03:30:46.911427Z
328,298.6,buy,0.01,2015-01-08T03:30:58.337282Z
329,311.54,sell,0.01,2015-01-08T03:31:13.307332Z
330,297.66,buy,0.01,2015-01-08T03:31:32.219509Z
331,288.19,sell,0.01,2015-01-08T03:31:51.229617Z
332,310.86,buy,0.01,2015-01-08T03:32:23.006452Z
333,308.7,sell,0.01,2015-01-08T03:32:46.550761Z
334,299.67,sell,0.01,2015-01-08T03:33:03.018241Z
335,287.75,sell,0.01,2015-01-08T03:33:44.344187Z
336,309.83,sell,0.01,2015-01-08T03:34:19.849254Z
337,312.18,buy,0.01,2015-01-08T03:34:53.505324Z
338,284.61,sell,0.01,2015-01-08T03:35:08.176252Z
339,304.44,sell,0.01,2015-01-08T03:35:49.479697Z
340,292.73,sell,0.01,2015-01-08T03:36:08.230335Z
341,289.28,sell,0.01,2015-01-08T03:36:48.87435Z
342,286.48,sell,0.01,2015-01-08T03:37:06.518492Z
343,309.03,sell,0.01,2015-01-08T03:37:49.453693Z
344,291.27,sell,0.01,2015-01-08T03:38:12.608553Z
345,291.9,sell,0.01,2015-01-08T03:38:18.362728Z
346,308.98,sell,0.01,2015-01-08T03:38:54.95339Z
347,283.92,buy,0.01,2015-01-08T03:39:39.349252Z
348,294.03,buy,0.01,2015-01-08T03:40:20.692437Z
349,294.2,buy,0.01,2015-01-08T03:40:51.85458Z
350,286.83,sell,0.01,2015-01-08T03:41:35.478521Z
351,286.81,buy,0.01,2015-01-08T03:41:59.98334Z
352,300.19,buy,0.01,2015-01-08T03:42:38.329651Z
353,308.06,buy,0.01,2015-01-08T03:43:02.935606Z
354,297.53,buy,0.01,2015-01-08T03:43:28.245473Z
355,286.62,buy,0.01,2015-01-08T03:43:46.358133Z
356,309.63,buy,0.01,2015-01-08T03:43:52.099747Z
357,307.63,buy,0.01,2015-01-08T03:44:24.610625Z
358,300.09,buy,0.01,2015-01-08T03:44:51.961031Z
359,289.65,buy,0.01,2015-01-08T03:45:11.744148Z
360,286.36,sell,0.01,2015-01-08T03:45:34.871531Z
361,290.78,buy,0.01,2015-01-08T03:46:11.582479Z
362,293.67,sell,0.01,2015-01-08T03:46:27.385806Z
363,314.32,sell,0.01,2015-01-08T03:47:08.0633Z
364,285.78,buy,0.01,2015-01-08T03:47:34.873776Z
365,283.89,sell,0.01,2015-01-08T03:48:09.785472Z
366,305.8,sell,0.01,2015-01-08T03:48:43.459904Z
367,295.43,buy,0.01,2015-01-08T03:49:21.453548Z
368,305.49,buy,0.01,2015-01-08T03:49:41.523204Z
369,283.99,buy,0.01,2015-01-08T03:50:15.494775Z
370,306.89,buy,0.01,2015-01-08T03:50:33.091045Z
371,310.81,sell,0.01,2015-01-08T03:50:57.308921Z
372,284.86,sell,0.01,2015-01-08T03:51:36.722635Z
373,289.28,sell,0.01,2015-01-08T03:52:06.464802Z
374,290.7,sell,0.01,2015-01-08T03:52:47.180212Z
375,311.26,sell,0.01,2015-01-08T03:53:26.033491Z
376,305.25,buy,0.01,2015-01-08T03:53:42.320051Z
377,312.82,buy,0.01,2015-01-08T03:54:00.010884Z
378,303.32,sell,0.01,2015-01-08T03:54:38.040937Z
379,296.74,sell,0.01,2015-01-08T03:54:54.430156Z
380,295.91,sell,0.01,2015-01-08T03:55:12.848471Z
381,303.46,sell,0.01,2015-01-08T03:55:39.533282Z
382,301.6,sell,0.01,2015-01-08T03:56:05.131955Z
383,295.76,sell,0.01,2015-01-08T03:56:28.555329Z
384,289.48,buy,0.01,2015-01-08T03:57:05.146994Z
385,290.28,sell,0.01,2015-01-08T03:57:19.032384Z
386,289.7,buy,0.01,2015-01-08T03:57:25.428748Z
387,293.58,buy,0.01,2015-01-08T03:57:51.400057Z
388,311.26,sell,0.01,2015-01-08T03:58:31.448149Z
389,300.18,sell,0.01,2015-01-08T03:58:47.349824Z
390,311.19,sell,0.01,2015-01-08T03:58:56.35135Z
391,285.63,sell,0.01,2015-01-08T03:59:02.160677Z
392,287.75,buy,0.01,2015-01-08T03:59:14.369464Z
393,294.01,buy,0.01,2015-01-08T03:59:23.053083Z
394,285.88,sell,0.01,2015-01-08T03:59:49.688057Z
395,288.06,buy,0.01,2015-01-08T04:00:03.511585Z
396,309.58,buy,0.01,2015-01-08T04:00:34.136966Z
397,284.42,buy,0.01,2015-01-08T04:00:52.757479Z
398,293.19,sell,0.01,2015-01-08T04:01:36.633586Z
399,304.46,buy,0.01,2015-01-08T04:02:20.55263Z
400,290.14,buy,0.01,2015-01-08T04:03:03.040593Z
401,314.85,buy,0.01,2015-01-08T04:03:40.051443Z
402,307.94,sell,0.01,2015-01-08T04:04:06.115121Z
403,309.05,buy,0.01,2015-01-08T04:04:24.778677Z
404,309.89,buy,0.01,2015-01-08T04:05:03.845762Z
405,307.68,buy,0.01,2015-01-08T04:05:30.162378Z
406,307.54,buy,0.01,2015-01-08T04:05:53.739359Z
407,294.86,sell,0.01,2015-01-08T04:06:34.573795Z
408,283.53,sell,0.01,2015-01-08T04:07:09.412069Z
409,305.61,buy,0.01,2015-01-08T04:07:23.486668Z
410,290.81,buy,0.01,2015-01-08T04:08:07.943638Z
411,299.04,sell,0.01,2015-01-08T04:08:44.665216Z
412,283.7,buy,0.01,2015-01-08T04:09:09.964899Z
413,285.32,sell,0.01,2015-01-08T04:09:45.831564Z
414,290.16,sell,0.01,2015-01-08T04:10:17.409164Z
415,288.55,sell,0.01,2015-01-08T04:10:36.222513Z
416,291.29,sell,0.01,2015-01-08T04:11:14.474134Z
417,284.25,sell,0.01,2015-01-08T04:11:58.829329Z
418,294.17,buy,0.01,2015-01-08T04:12:08.637521Z
419,272.78,sell,0.01,2015-01-08T04:12:34.314753Z
420,264.81,buy,0.01,2015-01-08T04:13:13.572906Z
421,270.71,sell,0.01,2015-01-08T04:13:28.393179Z
422,288.69,buy,0.01,2015-01-08T04:13:41.288621Z
423,289.22,sell,0.01,2015-01-08T04:14:24.031245Z
424,299.31,sell,0.01,2015-01-08T04:14:44.717555Z
425,291.48,buy,0.01,2015-01-08T04:15:26.082502Z
426,283.06,sell,0.01,2015-01-08T04:16:01.407784Z
427,293.97,sell,0.01,2015-01-08T04:16:44.6548Z
428,290.78,buy,0.01,2015-01-08T04:17:26.327993Z
429,294.0,buy,0.01,2015-01-08T04:17:57.94699Z
430,296.74,buy,0.01,2015-01-08T04:18:15.317558Z
431,299.43,sell,0.01,2015-01-08T04:18:46.572736Z
432,290.43,buy,0.01,2015-01-08T04:19:01.596158Z
433,282.64,sell,0.01,2015-01-08T04:19:41.953534Z
434,287.92,sell,0.01,2015-01-08T04:20:23.596078Z
435,290.52,sell,0.01,2015-01-08T04:20:42.508476Z
436,286.34,buy,0.01,2015-01-08T04:21:15.95486Z
437,289.54,buy,0.01,2015-01-08T04:21:22.580842Z
438,296.61,buy,0.01,2015-01-08T04:21:52.649259Z
439,296.13,sell,0.01,2015-01-08T04:22:24.721305Z
440,288.99,sell,0.01,2015-01-08T04:22:54.199428Z
441,283.52,buy,0.01,2015-01-08T04:23:26.738154Z
442,297.8,buy,0.01,2015-01-08T04:23:56.607342Z
443,299.07,buy,0.01,2015-01-08T04:24:33.477087Z
444,291.08,buy,0.01,2015-01-08T04:24:40.080523Z
445,288.2,buy,0.01,2015-01-08T04:25:23.47619Z
446,287.52,buy,0.01,2015-01-08T04:25:52.359291Z
447,297.2,sell,0.01,2015-01-08T04:26:15.933875Z
448,293.54,sell,0.01,2015-01-08T04:26:27.51249Z
449,291.45,buy,0.01,2015-01-08T04:26:40.009989Z
450,299.91,buy,0.01,2015-01-08T04:27:17.35938Z
